Timestamp | System | Type | Color | Rate | Glass | Vantaux | Dimensions | Total Cost
2026-07-31 04:44:37 | Coulissant (سحب) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 63,100.00 DA
2026-07-31 04:44:44 | Coulissant (سحب) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 84,550.00 DA
2026-07-31 12:22:45 | Coulissant (سحب) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 63,100.00 DA
2026-07-31 12:26:07 | Coulissant (سحب) | TPR | أبيض | Rate:5500.0 | Glass:0.0 | Vantaux: 2 | W:1.5m H:1.2m | Total: 55,000.00 DA
2026-07-31 12:26:13 | Coulissant (سحب) | TPR | أبيض | Rate:5500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.2m | Total: 55,000.00 DA
2026-07-31 12:26:19 | Coulissant (سحب) | TPR | أبيض | Rate:5500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 55,000.00 DA
2026-07-31 12:26:33 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 15,000.00 DA
2026-07-31 12:26:53 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:27:04 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,800.00 DA
2026-07-31 12:27:10 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,250.00 DA
2026-07-31 12:27:13 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,800.00 DA
2026-07-31 12:27:16 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,800.00 DA
2026-07-31 12:27:18 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:27:37 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:27:40 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 15,000.00 DA
2026-07-31 12:27:42 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:27:48 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 18,900.00 DA
2026-07-31 12:27:51 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 18,900.00 DA
2026-07-31 12:27:52 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:27:54 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 18,900.00 DA
2026-07-31 12:27:58 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:28:10 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 18,900.00 DA
2026-07-31 12:28:12 | Coulissant (سحب) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 19,350.00 DA
2026-07-31 12:28:30 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 90,350.00 DA
2026-07-31 12:28:45 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 16,500.00 DA
2026-07-31 12:28:53 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,850.00 DA
2026-07-31 12:29:01 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 16,500.00 DA
2026-07-31 12:29:04 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,850.00 DA
2026-07-31 12:29:07 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,400.00 DA
2026-07-31 12:29:09 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 16,500.00 DA
2026-07-31 12:29:11 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,850.00 DA
2026-07-31 12:29:14 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,400.00 DA
2026-07-31 12:29:18 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 16,500.00 DA
2026-07-31 12:29:19 | Française (فتح عادي) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 2 | W:1.0m H:1.0m | Total: 20,850.00 DA
2026-07-31 12:40:47 | Française (فتح عادي) | TPR | أبيض | Rate:6500.0 | Glass:8099.999999999999 | Vantaux: 2 | W:1.5m H:1.2m | Total: 79,600.00 DA
2026-07-31 12:41:12 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:5500.0 | Glass:8099.999999999999 | Vantaux: 0 | W:1.5m H:1.2m | Total: 52,100.00 DA
2026-07-31 12:41:31 | Fixe خالص (بدون أوراق متحركة) | TPR | أبيض | Rate:1500.0 | Glass:0.0 | Vantaux: 0 | W:1.5m H:1.2m | Total: 12,000.00 DA
